city,zip,state,population
Birmingham,35203,Alabama,"231,483"
Huntsville,35813,Alabama,"166,313"
Mobile,36601,Alabama,"191,544"
Montgomery,36119,Alabama,"200,127"
Anchorage,99599,Alaska,"275,043"
Chandler,85225,Arizona,"234,939"
Flagstaff,86001,Arizona,"40,770"
Gilbert town,85296,Arizona,"173,989"
Glendale,85302,Arizona,"239,435"
Mesa,85201,Arizona,"442,780"
Peoria,85381,Arizona,"138,200"
Phoenix,85026,Arizona,"1,461,575"
Scottsdale,85251,Arizona,"226,013"
Tempe,85282,Arizona,"161,143"
Tucson,85726,Arizona,"515,526"
Yuma,85364,Arizona,"73,806"
Fayetteville,72764,Arkansas,"50,230"
Fort Smith,72903,Arkansas,"26,148"
Little Rock,72202,Arkansas,"184,564"
Springdale,72764,Arkansas,"50,230"
Anaheim,92803,California,"331,804"
Antioch,94509,California,"100,631"
Bakersfield,93380,California,"295,536"
Baldwin Park,91706,California,"76,873"
Bellflower,90706,California,"76,519"
Bell Gardens,90201,California,"101,479"
Berkeley,94704,California,"100,744"
Burbank,91505,California,"104,108"
Chino,91710,California,"73,117"
Chino Hills,91709,California,"76,274"
Chula Vista,91910,California,"210,497"
Concord,94520,California,"123,252"
Corona,91718,California,"149,387"
Costa Mesa,92628,California,"109,830"
Daly City,94015,California,"100,339"
Downey,90241,California,"109,718"
El Monte,91734,California,"122,513"
Elk Grove,95624,California,"112,338"
Escondido,92025,California,"134,085"
Fairfield,94533,California,"104,476"
Fontana,92335,California,"163,860"
Fremont,94537,California,"200,468"
Fresno,93706,California,"461,116"
Fullerton,92834,California,"132,787"
Garden Grove,92842,California,"166,075"
Glendale,91205,California,"200,065"
Hawthorne,90250,California,"96,593"
Hayward,94544,California,"140,293"
Hesperia,92345,California,"81,522"
Huntington Beach,92647,California,"194,457"
Huntington Park,90255,California,"73,477"
Inglewood,90301,California,"114,467"
Irvine,92619,California,"186,852"
Lancaster,93534,California,"134,032"
La Puente,91744,California,"82,850"
Long Beach,90802,California,"474,014"
Los Angeles,90052,California,"3,844,829"
Modesto,95350,California,"207,011"
Moreno Valley,92553,California,"178,367"
Norwalk,90650,California,"105,834"
Oakland,94612,California,"395,274"
Oceanside,92054,California,"166,108"
Ontario,91761,California,"172,679"
Orange,92863,California,"134,950"
Oxnard,93030,California,"183,628"
Pacoima,91331,California,"93,821"
Palmdale,93550,California,"134,570"
Pasadena,91103,California,"143,731"
Pittsburg,94565,California,"90,935"
Pomona,91769,California,"153,787"
Porterville,93257,California,"75,659"
Rancho Cucamonga,91729,California,"169,353"
Reseda,91335,California,"73,881"
Rialto,92376,California,"84,462"
Richmond,94801,California,"102,186"
Riverside,92507,California,"290,086"
Roseville,95661,California,"105,940"
Sacramento,95813,California,"456,441"
Salinas,93907,California,"146,431"
San Bernardino,92401,California,"198,550"
San Buenaventura (Ventura),93001,California,"104,017"
San Diego,92199,California,"1,255,540"
San Francisco,94188,California,"739,426"
San Jose,95101,California,"912,332"
Santa Ana,92711,California,"340,368"
Santa Clara,95050,California,"105,402"
Santa Clarita,91355,California,"168,253"
Santa Rosa,95402,California,"153,158"
Simi Valley,93065,California,"118,687"
South Gate,90280,California,"95,430"
Stockton,95208,California,"286,926"
Sunnyvale,94086,California,"128,902"
Sylmar,91342,California,"89,725"
Thousand Oaks,91362,California,"124,359"
Torrance,90503,California,"142,384"
Vallejo,94590,California,"117,483"
Visalia,93277,California,"108,669"
Watsonville,95076,California,"80,408"
West Covina,91793,California,"108,185"
Arvada,80004,Colorado,"103,966"
Aurora,80017,Colorado,"297,235"
Colorado Springs,80903,Colorado,"369,815"
Denver,80202,Colorado,"557,917"
Grand Junction,81504,Colorado,"28,481"
Fort Collins,80525,Colorado,"128,026"
Lakewood,80202,Colorado,"140,671"
Pueblo,81003,Colorado,"103,495"
Thornton,80221,Colorado,"105,182"
Westminster,80030,Colorado,"105,084"
Bridgeport,6602,Connecticut,"139,008"
Hartford,6101,Connecticut,"124,397"
New Haven,6511,Connecticut,"124,791"
Stamford,6904,Connecticut,"120,045"
Waterbury,6702,Connecticut,"107,902"
Dover,19901,Deleware,"35,055"
Wilmington,19805,Deleware,"40,937"
Washington1,20090,District of Columbia,"550,521"
Bradenton,34203,Florida,"34,862"
Cape Coral,33909,Florida,"140,010"
Clearwater,33990,Florida,"108,687"
Cocoa Beach,32931,Florida,"13,567"
Coral Springs,33075,Florida,"128,804"
Daytona Beach,32114,Florida,"32,084"
Fort Lauderdale,33310,Florida,"167,380"
Fort Myers,33908,Florida,"38,251"
Gainesville,32601,Florida,"108,184"
Hialeah,33010,Florida,"220,485"
Hollywood,33022,Florida,"145,629"
Jacksonville,32203,Florida,"782,623"
Lake City,32025,Florida,"22,380"
Miami,33152,Florida,"386,417"
Miramar,33023,Florida,"106,623"
Orlando,32802,Florida,"213,223"
Pembroke Pines,33024,Florida,"150,380"
Pensacola,32514,Florida,"37,399"
Pompano Beach,33060,Florida,"104,179"
Port St. Lucie,34952,Florida,"131,692"
St. Petersburg,33730,Florida,"249,079"
Tallahassee,32301,Florida,"158,500"
Tampa,33630,Florida,"325,989"
Venice,34293,Florida,"33,001"
Athens-Clarke County2,30608,Georgia,"103,238"
Atlanta,30304,Georgia,"470,688"
Augusta-Richmond County3,30901,Georgia,"190,782"
Columbus,31908,Georgia,"185,271"
Lawrenceville,30044,Georgia,"87,610"
Macon,31204,Georgia,"31,482"
Savannah,31402,Georgia,"128,453"
Honolulu CDP4,96820,Hawaii,"377,379"
Boise City,83708,Idaho,"193,161"
Idaho Falls,83401,Idaho,"37,966"
Twin Falls,83301,Idaho,"52,010"
Aurora,60505,Illinois,"168,181"
Bloomington,61701,Illinois,"36,105"
Chicago,60607,Illinois,"2,842,518"
Joliet,60436,Illinois,"136,208"
Marion,62959,Illinois,"26,948"
Naperville,60540,Illinois,"141,579"
Peoria,61601,Illinois,"112,685"
Rockford,61125,Illinois,"152,916"
Springfield,62703,Illinois,"115,668"
Bloomington,47401,Indiana,"41,011"
Evansville,47708,Indiana,"115,918"
Fort Wayne,46802,Indiana,"223,341"
Gary,46410,Indiana,"38,340"
Indianapolis,46206,Indiana,"784,118"
South Bend,46624,Indiana,"105,262"
Zionsville,46077,Indiana,"24,512"
Cedar Rapids,52401,Iowa,"123,119"
Davenport,52806,Iowa,"27,503"
Des Moines,50318,Iowa,"194,163"
Sioux City,51106,Iowa,"26,544"
Kansas City,66106,Kansas,"144,210"
Manhattan,66502,Kansas,"43,850"
Olathe,66051,Kansas,"111,334"
Overland Park,66204,Kansas,"164,811"
Topeka,66603,Kansas,"121,946"
Wichita,67276,Kansas,"354,865"
Bowling Green,42101,Kentucky,"55,648"
Lexington-Fayette,40511,Kentucky,"268,080"
Louisville-Jefferson County5,40231,Kentucky,"556,429"
Owensboro,42301,Kentucky,"42,440"
Alexandria,71301,Louisiana,"22,859"
Baton Rouge,70826,Louisiana,"222,064"
Houma,70364,Louisiana,"30,503"
Lafayette,70509,Louisiana,"112,030"
Lake Charles,70605,Louisiana,"32,741"
Monroe,71203,Louisiana,"37,105"
New Orleans,70113,Louisiana,"454,863"
Shreveport,71102,Louisiana,"198,874"
Augusta,04330,Maine,"26,086"
Bangor,04401,Maine,"44,899"
Portland,04103,Maine,"30,606"
Baltimore,21202,Maryland,"635,815"
Frederick,21702,Maryland,"38,847"
Salisbury,21804,Maryland,"38,491"
Boston,02205,Massachusetts,"559,034"
Cambridge,02139,Massachusetts,"100,135"
Lowell,01853,Massachusetts,"103,111"
New Bedford,02740,Massachusetts,"43,087"
Springfield,01101,Massachusetts,"151,732"
Worcester,01613,Massachusetts,"175,898"
Ann Arbor,48104,Michigan,"113,271"
Detroit,48233,Michigan,"886,671"
Flint,48502,Michigan,"118,551"
Grand Rapids,49501,Michigan,"193,780"
Kalamazoo,49009,Michigan,"42,632"
Lansing,48924,Michigan,"115,518"
Sterling Heights,48311,Michigan,"128,034"
Traverse City,49684,Michigan,"37,963"
Warren,48090,Michigan,"135,311"
Duluth,55811,Minnesota,"26,246"
Minneapolis,55401,Minnesota,"372,811"
Rochester,55901,Minnesota,"51,917"
St. Paul,55109,Minnesota,"275,150"
Gulfport,39503,Mississippi,"45,309"
Hattiesburgh,39401,Mississippi,"43,366"
Jackson,39205,Mississippi,"177,977"
South Haven,49090,Mississippi,"13,810"
Tupelo,38801,Mississippi,"29,871"
Columbia,65203,Missouri,"53,307"
Independence,64052,Missouri,"110,208"
Jefferson City,65109,Missouri,"38,098"
Kansas City,64108,Missouri,"444,965"
Springfield,65801,Missouri,"150,298"
St. Louis,63155,Missouri,"344,362"
Billings,59102,Montana,"46,564"
Great Falls,59405,Montana,"31,438"
Helena,59601,Montana,"29,283"
Missoula,59801,Montana,"30,940"
Grand Island,68801,Nebraska,"30,005"
Lincoln,68501,Nebraska,"239,213"
Norfolk,68701,Nebraska,"30,670"
North Platte,69101,Nebraska,"29,904"
Omaha,68108,Nebraska,"414,521"
Carson City,89701,Nevada,"27,625"
Elko,89801,Nevada,"23,298"
Henderson,89015,Nevada,"232,146"
Las Vegas,89199,Nevada,"545,147"
North Las Vegas,89030,Nevada,"176,635"
Reno,89510,Nevada,"203,550"
Concord,03301,New Hampshire,"33,008"
Manchester,03103,New Hampshire,"109,691"
Elizabeth,07208,New Jersey,"125,809"
Jersey City,07302,New Jersey,"239,614"
Newark,07102,New Jersey,"280,666"
Paterson,07510,New Jersey,"149,843"
Trenton,08618,New Jersey,"38,229"
Vineland,08360,New Jersey,"43,355"
Albuquerque,87101,New Mexico,"494,236"
Clovis,88101,New Mexico,"45,006"
Farmington,87401,New Mexico,"46,293"
Roswell,88203,New Mexico,"31,561"
Santa Fe,87507,New Mexico,"45,890"
Albany,12203,New York,"29,952"
Bronx,10467,New York,"90,492"
Brooklyn,11226,New York,"94,814"
Buffalo,14240,New York,"279,745"
Elmhurst,11373,New York,"79,681"
Flushing,11355,New York,"77,581"
New York,10199,New York,"8,143,197"
Rochester,14692,New York,"211,091"
Syracuse,13220,New York,"141,683"
Woodside,11377,New York,"75,274"
Yonkers,10701,New York,"196,425"
Asheville,28806,North Carolina,"38,550"
Charlotte,28228,North Carolina,"610,949"
Durham,27701,North Carolina,"204,845"
Fayetteville,28302,North Carolina,"129,928"
Greensboro,27420,North Carolina,"231,962"
Greenville,27858,North Carolina,"55,781"
Kingsport,37660,North Carolina,"40,038"
Raleigh,27613,North Carolina,"341,530"
Winston-Salem,27102,North Carolina,"193,755"
Wilmington,28403,North Carolina,"36,063"
Bismark,58501,North Dakota,"28,055"
Fargo,58103,North Dakota,"47,302"
Grand Forks,58201,North Dakota,"34,880"
Minot,58701,North Dakota,"28,368"
Akron,44309,Ohio,"210,795"
Cincinnati,45225,Ohio,"308,728"
Cleveland,44101,Ohio,"452,208"
Columbus,43216,Ohio,"730,657"
Dayton,45401,Ohio,"158,873"
Lima,45801,Ohio,"25,303"
Sandusky,44870,Ohio,"41,030"
Toledo,43601,Ohio,"301,285"
Younstown,44512,Ohio,"34,424"
Zanesville,43701,Ohio,"55,643"
Lawton,73505,Oklahoma,"49,809"
Norman,73019,Oklahoma,"101,719"
Oklahoma City,73125,Oklahoma,"531,324"
Tulsa,74107,Oklahoma,"382,457"
Bend,97701,Oregon,"58,933"
Eugene,97401,Oregon,"144,515"
Gresham,97080,Oregon,"40,888"
Medford,97504,Oregon,"44,444"
Portland,97208,Oregon,"533,427"
Salem,97309,Oregon,"148,751"
Allentown,18101,Pennsylvania,"106,992"
Altoona,16601,Pennsylvania,"33,870"
Erie,16515,Pennsylvania,"102,612"
Harrisburg,17112,Pennsylvania,"33,850"
Philadelphia,19104,Pennsylvania,"1,463,281"
Pittsburgh,15290,Pennsylvania,"316,718"
Reading,19606,Pennsylvania,"34,416"
Scranton,18504,Pennsylvania,"21,265"
State College,16801,Pennsylvania,"42,812"
Providence,02904,Rhode Island,"176,862"
Charleston,29401,South Carolina,"106,712"
Columbia,29201,South Carolina,"117,088"
Florence,29501,South Carolina,"43,220"
Greenville,29615,South Carolina,"35,151"
Hilton Head,29909,South Carolina,"23,443"
Mytle Beach,29579,South Carolina,"32,180"
Aberdeen,57401,South Dakota,"30,661"
Brookings,57006,South Dakota,"24,530"
Pierre,57501,South Dakota,"16,309"
Rapid City,27701,South Dakota,"43,462"
Sioux Falls,57104,South Dakota,"139,517"
Chattanooga,37421,Tennessee,"154,762"
Clarksville,37043,Tennessee,"112,878"
Cookeville,38501,Tennessee,"36,687"
Jackson,38305,Tennessee,"49,808"
Knoxville,37950,Tennessee,"180,130"
Lawrenceburg,38464,Tennessee,"22,293"
Memphis,38101,Tennessee,"672,277"
Nashville,37230,Tennessee,"549,110"
Abilene,79604,Texas,"114,757"
Amarillo,79120,Texas,"183,021"
Arlington,76004,Texas,"362,805"
Austin,78710,Texas,"690,252"
Beaumont,77707,Texas,"111,799"
Brownsville,78520,Texas,"167,493"
Carrollton,75006,Texas,"118,870"
Corpus Christi,78469,Texas,"283,474"
Cypress,77429,Texas,"76,016"
Dallas,75260,Texas,"1,213,825"
Denton,76201,Texas,"104,153"
El Paso,79910,Texas,"598,590"
Fort Worth,76161,Texas,"624,067"
Garland,75040,Texas,"216,346"
Grand Prairie,75051,Texas,"144,337"
Houston,77201,Texas,"2,016,582"
Irving,75061,Texas,"193,649"
Katy,77449,Texas,"99,586"
Killeen,76541,Texas,"100,233"
Laredo,78041,Texas,"208,754"
League City,77573,Texas,"75,290"
Lubbock,79402,Texas,"209,737"
McAllen,78501,Texas,"123,622"
Mckinney,75070,Texas,"82,329"
Mesquite,75149,Texas,"129,902"
Mission,78572,Texas,"96,822"
Pasadena,77501,Texas,"143,852"
Pearland,77584,Texas,"75,508"
Pharr,78577,Texas,"85,926"
Plano,75074,Texas,"250,096"
San Antonio,78284,Texas,"1,256,509"
Sugar Land,77479,Texas,"77,169"
Waco,76702,Texas,"120,465"
Provo,84604,Utah,"49,145"
Salt Lake City,84199,Utah,"178,097"
St. George,84770,Utah,"39,131"
Burlington,05401,Vermont,"28,185"
Montpelier,05602,Vermont,"11,916"
Alexandria,22314,Virginia,"135,337"
Arlington CDP,23320,Virginia,"195,965"
Charlottesville,22903,Virginia,"38,229"
Chesapeake,23670,Virginia,"218,968"
Danville,24540,Virginia,"32,170"
Fredericksburgh,22407,Virginia,"54,962"
Hampton,23607,Virginia,"145,579"
Newport News,23501,Virginia,"179,899"
Norfolk,23707,Virginia,"231,954"
Portsmouth,23702,Virginia,"100,169"
Roanoke,24018,Virginia,"36,432"
Richmond,23232,Virginia,"193,777"
Virginia Beach,23450,Virginia,"438,415"
Woodbridge,22193,Virginia,"76,025"
Bellevue,98009,Virginia,"117,137"
Kennewick,99336,Virginia,"48,753"
Seattle,98108,Virginia,"573,911"
Spokane,99201,Virginia,"196,818"
Tacoma,98413,Virginia,"195,898"
Vancouver,98668,Virginia,"157,493"
Beckley,25801,West Virginia,"33,590"
Charleston,25302,West Virginia,"15,078"
Huntinton,25701,West Virginia,"23,284"
Martinsburg,25404,West Virginia,"19,551"
Morgantown,26505,West Virginia,"38,772"
Parkersburgh,26101,West Virginia,"29,999"
Wheeling,26003,West Virginia,"43,002"
Eau Claire,54703,Wisconsin,"42,272"
Green Bay,54303,Wisconsin,"101,203"
Janesville,53546,Wisconsin,"30,648"
Kenosha,53142,Wisconsin,"32,375"
Madison,53714,Wisconsin,"221,551"
Milwaukee,53203,Wisconsin,"578,887"
Casper,82601,Wyoming,"27,400"
Cheyenne,82001,Wyoming,"35,484"
Gillette,82718,Wyoming,"23,003"
Rock Springs,82901,Wyoming,"27,971"
Sheridan,82801,Wyoming,"24,558"
